STATE,Year,Total,Number,"Standard
error",Percent,"Standard
error"
Rhode Island,1984,946,121,31,12.8,3.1
South Carolina,1984,3258,561,67,17.2,1.9
South Dakota,1984,691,100,28,14.5,3.8
Tennessee,1984,4603,800,80,17.4,1.6
Texas,1984,15639,2448,139,15.7,0.8
Utah,1984,1647,183,38,11.1,2.2
Vermont,1984,514,65,23,12.6,4.1
Virginia,1984,5563,554,66,10,1.1
Washington,1984,4242,479,62,11.3,1.4
West Virginia,1984,1922,392,56,20.4,2.6
Wisconsin,1984,4698,730,76,15.5,1.5
Wyoming,1984,488,53,21,10.9,4
Alabama,1983,3950,909,89,23,2
Alaska,1983,486,61,8,12.6,1.5
Arizona,1983,2875,469,61,16.3,2
Arkansas,1983,2283,492,56,21.5,2.2
California,1983,25169,3755,194,14.9,0.7
Colorado,1983,3083,390,55,12.6,1.7
Connecticut,1983,3149,276,50,8.8,1.5
Delaware,1983,602,52,10,8.6,1.6
D.C.,1983,604,130,17,21.5,2.5
Florida,1983,10850,1595,133,14.7,1.1
Georgia,1983,5581,1050,107,18.8,1.7
Hawaii,1983,998,129,19,12.9,1.8
Idaho,1983,980,174,22,17.7,2
Illinois,1983,11345,1617,132,14.3,1.1
Indiana,1983,5382,865,91,16.1,1.6
Iowa,1983,2828,473,61,16.7,2
Kansas,1983,2369,321,48,13.6,1.9
Kentucky,1983,3752,670,85,17.9,2.1
Louisiana,1983,4360,939,90,21.5,1.8
Maine,1983,1157,144,22,12.4,1.8
Maryland,1983,4112,358,58,8.7,1.4
Massachusetts,1983,5731,443,59,7.7,1
Michigan,1983,9056,1518,124,16.8,1.3
Minnesota,1983,4138,502,72,12.1,1.6
Mississippi,1983,2481,669,64,27,2.2
Missouri,1983,4837,807,90,16.7,1.7
Montana,1983,810,125,17,15.4,1.9
Nebraska,1983,1577,240,33,15.2,1.9
Nevada,1983,885,86,16,9.7,1.7
New Hampshire,1983,938,76,15,8.1,1.6
New Jersey,1983,7451,828,89,11.1,1.1
New Mexico,1983,1385,340,36,24.5,2.2
New York,1983,17576,2817,165,16,0.9
North Carolina,1983,5890,933,102,15.8,1.6
North Dakota,1983,685,103,14,15,1.9
Ohio,1983,10681,1434,121,13.4,1.1
Oklahoma,1983,3259,553,65,17,1.8
Oregon,1983,2597,419,58,16.1,2
Pennsylvania,1983,11640,1797,135,15.4,1.1
Rhode Island,1983,971,141,21,14.5,2
South Carolina,1983,3295,687,75,20.8,2
South Dakota,1983,689,127,15,18.4,2
Tennessee,1983,4663,933,101,20,1.9
Texas,1983,15587,2499,172,16,1
Utah,1983,1591,214,29,13.5,1.7
Vermont,1983,531,83,12,15.6,2.1
Virginia,1983,5448,618,94,11.3,1.6
Washington,1983,4274,460,73,10.8,1.6
West Virginia,1983,1898,419,45,22.1,2.1
Wisconsin,1983,4736,504,80,10.7,1.6
Wyoming,1983,486,61,10,12.6,1.9
Alabama,1982,3937,849,82,21.6,1.8
Alaska,1982,432,46,19,10.6,4.2
Arizona,1982,2765,408,57,14.8,1.9
Arkansas,1982,2219,527,65,23.8,2.5
California,1982,24613,3475,165,14.1,0.6
Colorado,1982,3064,387,55,12.6,1.7
Connecticut,1982,3126,254,45,8.1,1.4
Delaware,1982,611,70,24,11.5,3.6
D.C.,1982,609,117,31,19.3,4.5
Florida,1982,10514,1601,112,15.2,1
Georgia,1982,5472,1074,92,19.6,1.5
Hawaii,1982,997,132,32,13.2,3
Idaho,1982,967,151,35,15.6,3.3
Illinois,1982,11284,1512,109,13.4,0.9
Indiana,1982,5415,683,74,12.6,1.3
Iowa,1982,2770,371,54,13.4,1.8
Kansas,1982,2365,247,44,10.4,1.8
Kentucky,1982,3618,587,68,16.2,1.7
Louisiana,1982,4299,976,88,22.7,1.8
Maine,1982,1133,156,35,13.7,2.9
Maryland,1982,4190,516,64,12.3,1.4
Massachusetts,1982,5748,590,68,10.3,1.1
Michigan,1982,9117,1481,108,16.2,1.1
Minnesota,1982,4120,546,66,13.3,1.5
Mississippi,1982,2454,562,67,22.9,2.4
Missouri,1982,4798,699,74,14.6,1.4
Montana,1982,793,134,33,17,3.8
Nebraska,1982,1582,216,41,13.6,2.4
Nevada,1982,897,70,24,7.8,2.5
New Hampshire,1982,943,97,28,10.3,2.8
New Jersey,1982,7367,896,84,12.2,1.1
New Mexico,1982,1355,303,49,22.4,3.2
New York,1982,17656,2607,143,14.8,0.8
North Carolina,1982,5928,1201,97,20.3,1.5
North Dakota,1982,658,85,26,12.9,3.7
Ohio,1982,10711,1366,104,12.8,0.9
Oklahoma,1982,3111,478,62,15.4,1.8
Oregon,1982,2557,354,53,13.9,1.9
Pennsylvania,1982,11619,1572,111,13.5,0.9
Rhode Island,1982,942,125,32,13.3,3.1
South Carolina,1982,3301,701,75,21.2,2
South Dakota,1982,677,114,30,16.8,4
Tennessee,1982,4679,1106,94,23.6,1.8
Texas,1982,15153,2450,139,16.2,0.8
Utah,1982,1575,229,43,14.5,2.5
Vermont,1982,519,67,23,12.9,4.2
Virginia,1982,5329,668,73,12.5,1.3
Washington,1982,4259,549,66,12.9,1.4
West Virginia,1982,1951,484,62,24.8,2.8
Wisconsin,1982,4733,452,60,9.5,1.2
Wyoming,1982,481,58,21,12,4.2
Alabama,1981,3878,935,86,24.1,1.9
Alaska,1981,403,36,17,9,4
